id,type,isObscene,isAbstract,text
1,prefix,FALSE,FALSE,Огне
2,prefix,FALSE,FALSE,Брюхо
3,prefix,FALSE,FALSE,Мече
4,prefix,FALSE,FALSE,Мрако
5,prefix,FALSE,FALSE,Пыле
6,prefix,FALSE,FALSE,Пузо
7,prefix,FALSE,FALSE,Луно
8,prefix,FALSE,FALSE,Кресто
9,prefix,FALSE,FALSE,Грызо
10,prefix,FALSE,FALSE,Миро
11,prefix,FALSE,FALSE,Трясо
12,prefix,FALSE,FALSE,Нюхо
13,prefix,FALSE,FALSE,Лизо
14,prefix,FALSE,FALSE,Ногте
15,prefix,FALSE,FALSE,Стремно
16,prefix,FALSE,FALSE,Слизе
17,prefix,FALSE,FALSE,Клыко
18,prefix,FALSE,FALSE,Цвето
19,prefix,FALSE,FALSE,Солнце
20,prefix,FALSE,FALSE,Звездо
21,prefix,FALSE,FALSE,Сопле
22,prefix,FALSE,FALSE,Спино
23,prefix,TRUE,FALSE,Попко
24,prefix,FALSE,FALSE,Бревно
25,prefix,FALSE,FALSE,Стрело
26,prefix,TRUE,FALSE,Сисько
27,prefix,FALSE,FALSE,Дыро
28,prefix,FALSE,FALSE,Злобно
29,prefix,FALSE,FALSE,Добро
30,prefix,FALSE,FALSE,Тыко
31,prefix,FALSE,FALSE,Грудо
32,prefix,FALSE,FALSE,Рыко
33,prefix,FALSE,FALSE,Жестко
34,prefix,TRUE,FALSE,Пуко
35,prefix,FALSE,FALSE,Кишко
36,prefix,FALSE,FALSE,Лихо
37,prefix,FALSE,FALSE,Мяче
38,prefix,FALSE,FALSE,Трюко
39,prefix,FALSE,FALSE,Штормо
40,prefix,FALSE,FALSE,Ветро
41,prefix,FALSE,FALSE,Ледо
42,prefix,FALSE,FALSE,Жиро
43,prefix,FALSE,FALSE,Стуко
44,prefix,FALSE,FALSE,Стекло
45,prefix,FALSE,FALSE,Бесо
46,prefix,FALSE,FALSE,Следо
47,prefix,FALSE,FALSE,Мохно
48,prefix,FALSE,FALSE,Хряко
49,prefix,FALSE,FALSE,Свино
50,prefix,FALSE,FALSE,Волко
51,prefix,FALSE,FALSE,Угле
52,prefix,FALSE,FALSE,Треско
53,prefix,FALSE,FALSE,Смехо
54,prefix,FALSE,FALSE,Дымо
55,prefix,FALSE,FALSE,Сердо
56,prefix,FALSE,FALSE,Утко
57,prefix,FALSE,FALSE,Шлепко
58,prefix,FALSE,FALSE,Духо
59,prefix,FALSE,FALSE,Няше
60,prefix,FALSE,FALSE,Чпоко
61,prefix,FALSE,FALSE,Трусо
62,prefix,FALSE,FALSE,Плаще
63,prefix,FALSE,FALSE,Крово
64,prefix,FALSE,FALSE,Траво
65,prefix,FALSE,FALSE,Пыхо
66,prefix,FALSE,FALSE,Друго
67,prefix,FALSE,FALSE,Враго
68,prefix,FALSE,FALSE,Тряпко
69,prefix,FALSE,FALSE,Костро
70,prefix,FALSE,FALSE,Лапо
71,prefix,FALSE,FALSE,Дупло
72,prefix,FALSE,FALSE,Вибро
73,prefix,FALSE,FALSE,Шелко
74,prefix,FALSE,FALSE,Куче
75,prefix,FALSE,FALSE,Перце
76,prefix,FALSE,FALSE,Двиго
77,prefix,FALSE,FALSE,Грязе
78,prefix,FALSE,FALSE,Быко
79,prefix,FALSE,FALSE,Клопо
